id,scramble,time,numexp,numgen
0,EAeAEede,0.50,190,2092
1,fEFFAcBd,54.34,191638,2108020
2,aDDAFfAa,0.42,49,541
3,dCbacAba,1.61,4667,51339
4,BFDbaFdB,23.49,83940,923342
5,AaDbfECC,180.01,621418,6835600
6,AcBCAaef,4.38,15229,167521
7,daeBdCEB,55.59,196812,2164934
8,cBccEdbf,0.60,716,7878
9,DBCFCbeE,50.72,180010,1980112
10,eDAaABaf,0.58,647,7119
11,edecfdaa,109.86,389736,4287098
12,ceeFCCea,5.05,17899,196891
13,beaDebbd,42.55,150793,1658725
14,deDEfdCc,0.44,160,1762
15,ecFBbefF,0.40,20,222
16,DEebbccb,6.07,21539,236931
17,cDAdAEcB,9.17,32508,357590
18,cAeFdfbe,666.00,2302540,25327942
19,eaaEBdaA,0.43,51,563
20,cDbfdDFB,0.42,2,24
21,fbaEDFEc,199.20,713675,7850427
22,AACfDbdB,0.43,4,46
23,aBaDDbfE,0.49,72,794
24,aDcdebeC,14.20,50849,559341
25,CeEcBAba,0.45,125,1377
26,bebbfDCc,0.43,57,629
27,FbBdAcAa,0.42,11,123
28,DAbADcDF,25.26,89217,981389
29,faafdDcd,1.61,4656,51218
30,aFfccdbb,1.20,3045,33497
31,AFEBDCFF,715.83,2471457,27186029
32,fbcFffDa,0.76,1298,14280
33,dDAfDCAE,0.43,12,134
34,daCDfbfE,19.08,72081,792893
35,eACadFcA,2.85,9386,103248
36,ecFdfbAb,11.22,41779,459571
37,FFBCBDbB,0.80,1456,16018
38,aACEFede,0.44,95,1047
39,EEAfEcEb,93.12,339518,3734700
40,DadacbCb,6.14,22218,244400
41,BFcAfFbD,1.02,2258,24840
42,acfeDDCf,791.22,2743544,30178986
43,dfFcDECf,0.45,147,1619
44,DBbdAFfc,0.43,2,24
45,FAECDFdc,587.95,2019749,22217241
46,FbcFDAcB,2.04,6254,68796
47,eAEDaaDe,0.46,158,1740
48,FebbaeaC,16.52,61956,681518
49,CaDeBEFD,16.61,62548,688030
50,CFdbFeAa,1.07,2403,26435
51,bdDbfFCC,0.43,4,46
52,AdcEeEeE,0.87,1779,19571
53,bDeBCBcE,24.92,95193,1047125
54,BdcEbfeC,76.28,272301,2995313
55,BaBaDbdf,0.46,143,1575
56,aDdBaAbE,0.42,2,24
57,aCfAbdeF,1.36,3668,40350
58,bAbEcdAD,1193.04,4009569,44105261
59,EFfAaFDe,4.57,16199,178191
60,cfcCDeBD,2.49,8084,88926
61,aAEeFdDE,0.43,2,24
62,BbfCbEEC,2.58,8437,92809
63,eCFfbBBD,0.43,9,101
64,edeDabAE,2.23,7073,77805
65,ACfaFDfC,5.70,19996,219958
66,bfFfdDDb,0.45,20,222
67,bdFdeCdb,18.59,67692,744614
68,bEecAEcE,180.23,641129,7052421
69,fEdFDEfA,12.93,48317,531489
70,ecDEBAEa,15.11,53515,588667
71,beDDfBEf,0.58,584,6426
72,aEfdCddC,224.06,791317,8704489
73,dbecbFAD,122.74,443430,4877732
74,fbFbDBEF,0.44,71,783
75,EfABCaBc,240.14,850494,9355436
76,eAdEFacB,49.40,176887,1945759
77,ecBEdBED,211.85,755413,8309545
78,facBDDbD,1.03,2435,26787
79,eDAfBdad,1.09,2729,30021
80,faADaACb,0.43,59,651
81,eaCeEdAf,6.01,21695,238647
82,BcCcEAdE,175.63,633340,6966742
83,dbeCEcED,170.44,615535,6770887
84,CeFeBdCf,224.56,800655,8807207
85,ADfFbfbC,2.31,7307,80379
86,dADDfaAd,1.41,3889,42781
87,aFAbAAcB,12.58,44735,492087
88,feeFbCaB,7.22,25624,281866
89,BACBBaDF,16.05,57128,628410
90,eeaBBCeC,11.70,41704,458746
91,BeaaeFCb,12.73,45015,495167
92,BeBbFDDc,24.31,86045,946497
93,CccbaFfB,2.44,7848,86330
94,efdFcfAD,18.30,65295,718247
95,dbEFAcdB,43.17,148273,1631005
96,DAFFdFBb,3.11,10406,114468
97,DaCefBed,12.15,44133,485465
98,aBabcFaa,1.80,5257,57829
99,bECFEfEC,3.50,11866,130528
