0,fAcAdB,0.47,455,5007
1,BcBbaB,0.35,4,46
2,fffdba,33.19,121159,1332751
3,EFAFaC,2.96,10183,112015
4,ebbedd,2.73,9547,105019
5,CeDFFD,0.34,6,68
6,EBDeCe,52.90,191935,2111287
7,BFbdEB,1.52,4616,50778
8,ECEFda,6.49,23759,261351
9,BDEaBb,8.17,29950,329452
10,cDbBAc,0.35,4,46
11,ACbfAA,0.46,485,5337
12,FdfBAd,24.90,92688,1019570
13,AFfCcd,0.34,2,24
14,EcAEfC,1574.33,5359119,58950311
15,dABBAE,234.03,847724,9324966
16,eCBfED,1.34,3911,43023
17,faadab,0.44,376,4138
18,aCCAAE,0.34,6,68
19,FcbCEB,0.46,469,5161
20,FAfbCe,164.10,598915,6588067
21,fDBCeC,9.43,35548,391030
22,AebdCb,59.96,208999,2298991
23,AaefAe,0.37,74,816
24,ccaADC,0.35,7,79
25,dbafAf,28.02,97949,1077441
26,dDdBCe,12.02,42127,463399
27,faFDbe,0.43,294,3236
28,bBEAeE,0.35,2,24
29,FEEAEe,0.35,4,46
30,Cbdcbb,26.90,95181,1046993
31,BCEcEd,0.40,210,2312
32,fCAfDb,1524.37,5260644,57867086
33,FacBad,259.62,937515,10312667
34,BeFafe,1239.58,4230078,46530860
35,dbacaa,24.29,89127,980399
36,ABfBcB,29.10,106771,1174483
37,AdBAEF,0.41,245,2697
38,eeABec,0.38,146,1608
39,baCbdb,8.43,30997,340969
40,CDBdea,0.34,4,46
41,BEAebb,0.36,71,783
42,BdBABE,0.35,34,376
43,bEdcEc,3.30,11614,127756
44,FCEdFF,110.34,400655,4407207
45,EfCBBB,0.34,4,46
46,afBbBF,0.92,2307,25379
47,EcdeEF,0.79,1803,19835
48,bCDdCA,0.34,4,46
49,dEbBcb,0.35,46,508
50,aDEDda,0.34,4,46
51,AACEEb,0.34,12,134
52,ECbdDA,0.34,4,46
53,CAaDde,0.34,2,24
54,cDFADb,2.55,8738,96120
55,adEDda,0.35,53,585
56,FfdDBB,0.37,115,1267
57,BeEAfb,0.64,1217,13389
58,DdAAFF,0.36,72,794
59,BBcCaF,0.36,81,893
60,aCafCF,3.85,13961,153573
61,fDDcbd,0.39,180,1982
62,dCBFAD,61.30,223618,2459800
63,BeeADb,12.41,43352,476874
64,BeFbAD,29.13,105465,1160117
65,AfAcEB,3.70,13215,145367
66,ceDfbf,0.34,6,68
67,ACcAAA,0.34,0,1
68,daFAbE,1.05,2803,30835
69,cABdBB,1.90,6170,67872
70,DFccca,0.79,1806,19868
71,fDFebC,269.47,965533,10620865
72,cceaed,0.35,8,90
73,BbbBCe,0.34,2,24
74,BaFFdA,0.50,591,6503
75,EecaFD,465.02,1601069,17611761
76,EfAADE,0.81,1711,18823
77,CbaCBd,0.76,1586,17448
78,DfFAda,0.36,39,431
79,BEDEad,4.22,14321,157533
80,cbCbFC,0.35,21,233
81,DBcbBF,2.64,8588,94470
82,CBdBeF,0.35,11,123
83,fecBDD,0.35,8,90
84,DEbFFd,1063.42,3733210,41065312
85,BEEabF,194.86,712425,7836677
86,AEAEda,0.34,8,90
87,BaDacc,7.63,28619,314811
88,aDCFCa,1.55,4768,52450
89,AaadFe,0.41,267,2939
90,aDbbBE,7.21,26693,293625
91,fbcDeB,0.59,1001,11013
92,CFBeDb,10.97,40199,442191
93,eCcaAD,0.34,2,24
94,BfdbCA,11.28,41893,460825
95,FAAcfF,0.72,1504,16546
96,cCdDbC,0.37,2,24
97,BFCFBd,0.57,917,10089
98,aedBbA,0.34,4,46
99,fBccdd,1.65,5246,57708
