id,scramble,time,numexp,numgen
0,dAceEBE,22.04,93668,1030350
1,fabacBA,10.88,46571,512283
2,AcbebEe,20.53,87516,962678
3,acFDcCF,4.33,18154,199696
4,aEfCdDC,11.02,46580,512382
5,CDfFDfd,0.61,1267,13939
6,bcCfCEe,0.34,3,35
7,cfceCDc,2.50,9944,109386
8,aEcfbfB,40.80,172431,1896743
9,fECBFEE,9.57,40427,444699
10,CBCADae,29.14,124840,1373242
11,FdeaFec,0.47,624,6866
12,BdCDeFF,4.08,17166,188828
13,DAEBEfB,252.85,1038823,11427055
14,DcacfCD,2.33,7217,79389
15,CcdbDcC,0.37,1,13
16,acDDbcB,262.72,1105842,12164264
17,dcCCbcd,2.41,9614,105756
18,EDDcfeA,0.38,200,2202
19,ACEeAFD,0.56,1010,11112
20,ffeFEbD,0.34,3,35
21,ddFBCBD,43.63,187808,2065890
22,DdDabFe,0.54,889,9781
23,aeEAfcE,0.35,3,35
24,EBAaEcF,0.35,18,200
25,aebdDbf,0.41,282,3104
26,aaedecB,1.55,5524,60766
27,eDEADfd,2.46,9696,106658
28,bcbceAB,18.64,79487,874359
29,EEAdaFa,1.05,3184,35026
30,DCFeAAA,9.91,42303,465335
31,edAfEBc,2.15,8245,90697
32,EedAEfC,2.39,9499,104491
33,bCeEFaC,0.70,1680,18482
34,eEcBfbA,0.52,856,9418
35,FBcACAA,0.35,10,112
36,BafFBef,0.34,17,189
37,fCabdec,346.47,1428866,15717528
38,dcdfaeE,0.38,18,200
39,DAdEBcE,0.62,1198,13180
40,feACaFC,6.74,26638,293020
41,FFFDEEF,0.36,53,585
42,eCfceEc,1.71,5775,63527
43,BfCcDBd,0.36,14,156
44,aDfEcDc,126.41,453818,4992000
45,CdcaEDf,0.41,26,288
46,CDabFda,84.87,297711,3274823
47,BABBDAf,4.19,14422,158644
48,FdfBaad,1.36,3681,40493
49,DBfCBeF,42.69,151431,1665743
50,CBBAccc,0.41,8,90
51,BaddBaE,5.01,17006,187068
52,dEacEbb,30.34,106198,1168180
53,DADDecE,6.96,23942,263364
54,eeAeFED,0.43,5,57
55,cAdbefE,60.24,211446,2325908
56,ECaeDef,1.20,3019,33211
57,bbCaAae,4.97,17251,189763
58,EAcFdAa,0.57,587,6459
59,BFDAACD,30.59,110554,1216096
60,eaDFEfB,0.41,39,431
61,eBcbaDE,0.62,783,8615
62,BFffEFc,0.41,3,35
63,AfFedff,1.30,3462,38084
64,EaCEBbE,5.38,18788,206670
65,ABdCeBB,18.93,68001,748013
66,CfAffbD,1.04,2475,27227
67,ffBBCDA,0.41,7,79
68,EFbacCf,3.21,10882,119704
69,bAebfCc,1.18,2990,32892
70,EbfBebD,18.37,65897,724869
71,fbBaDBe,0.85,1752,19274
72,aEeFdcC,0.41,3,35
73,BeeECea,0.45,187,2059
74,dECafAE,17.31,62085,682937
75,dEFaAEd,0.54,518,5700
76,BaBDaCa,0.92,1943,21375
77,bBfCfaD,0.42,16,178
78,DcabFCE,65.14,216135,2377487
79,DfaDACE,4.06,14129,155421
80,aDeFBdC,5.07,17962,197584
81,aFfBeAD,0.45,105,1157
82,bcBdbBE,0.43,88,970
83,CceEAFb,0.42,10,112
84,cAECaeC,21.92,79457,874029
85,EbbEDab,7.20,25743,283175
86,ABebEDc,0.53,486,5348
87,dbCCcAB,77.13,273735,3011087
88,fEeEAdF,18.21,66274,729016
89,EEFabEf,8.32,29607,325679
90,FeaFCBd,18.44,65595,721547
91,CaBDDDf,90.22,315467,3470139
92,eaabEBF,1.05,2492,27414
93,CcaDeaB,0.70,1105,12157
94,ACbcbBE,2.48,8206,90268
95,Fcbffbc,1.70,5015,55167
96,ECEeAAC,0.41,8,90
97,fEbcFcB,108.06,383372,4217094
98,BdCEDDf,13.00,49089,539981
99,aebACFa,3.75,12971,142683
