0,dAceEBE,9.92,36596,402558
1,fabacBA,0.53,722,7944
2,AcbebEe,0.74,1573,17305
3,acFDcCF,813.28,2822804,31050846
4,aEfCdDC,9.65,36389,400281
5,CDfFDfd,0.35,13,145
6,bcCfCEe,0.34,3,35
7,cfceCDc,6.11,22413,246545
8,aEcfbfB,621.84,2211453,24325985
9,fECBFEE,0.53,735,8087
10,CBCADae,229.92,841588,9257470
11,FdeaFec,0.35,30,332
12,BdCDeFF,24.57,94504,1039546
13,DAEBEfB,3.57,12717,139889
14,DcacfCD,69.48,256409,2820501
15,CcdbDcC,0.34,1,13
16,acDDbcB,2.27,7548,83030
17,dcCCbcd,1.98,6537,71909
18,EDDcfeA,1.84,5952,65474
19,ACEeAFD,0.57,918,10100
20,ffeFEbD,0.34,3,35
21,ddFBCBD,0.36,61,673
22,DdDabFe,7.86,29035,319387
23,aeEAfcE,0.34,3,35
24,EBAaEcF,2.63,8963,98595
25,aebdDbf,0.34,5,57
26,aaedecB,0.36,61,673
27,eDEADfd,240.55,876186,9638048
28,bcbceAB,0.78,1756,19318
29,EEAdaFa,27.11,102701,1129713
30,DCFeAAA,1.07,2930,32232
31,edAfEBc,2.16,7189,79081
32,EedAEfC,0.34,10,112
33,bCeEFaC,1.27,3705,40757
34,eEcBfbA,0.86,2084,22926
35,FBcACAA,0.34,3,35
36,BafFBef,0.34,6,68
37,fCabdec,20.81,76868,845550
38,dcdfaeE,0.35,21,233
39,DAdEBcE,0.38,145,1597
40,feACaFC,0.91,2284,25126
41,FFFDEEF,0.34,5,57
42,eCfceEc,1.46,4497,49469
43,BfCcDBd,0.39,188,2070
44,aDfEcDc,36.78,136265,1498917
45,CdcaEDf,0.55,807,8879
46,CDabFda,28.97,107231,1179543
47,BABBDAf,0.37,114,1256
48,FdfBaad,58.11,215186,2367048
49,DBfCBeF,596.77,2120770,23328472
50,CBBAccc,0.60,999,10991
51,BaddBaE,6.47,23902,262924
52,dEacEbb,5.15,18903,207935
53,DADDecE,14.35,54987,604859
54,eeAeFED,0.35,5,57
55,cAdbefE,4.11,14951,164463
56,ECaeDef,2.42,8156,89718
57,bbCaAae,16.05,59530,654832
58,EAcFdAa,790.88,2782002,30602024
59,BFDAACD,122.78,449139,4940531
60,eaDFEfB,0.35,16,178
61,eBcbaDE,15.72,57785,635637
62,BFffEFc,0.34,3,35
63,AfFedff,0.34,5,57
64,EaCEBbE,66.61,243273,2676005
65,ABdCeBB,60.68,219981,2419793
66,CfAffbD,26.63,98456,1083018
67,ffBBCDA,0.52,713,7845
68,EFbacCf,0.34,18,200
69,bAebfCc,0.35,38,420
70,EbfBebD,10.98,40318,443500
71,fbBaDBe,1.51,4692,51614
72,aEeFdcC,0.34,3,35
73,BeeECea,0.34,6,68
74,dECafAE,91.05,333492,3668414
75,dEFaAEd,0.35,7,79
76,BaBDaCa,0.36,53,585
77,bBfCfaD,0.35,17,189
78,DcabFCE,131.59,458201,5040213
79,DfaDACE,246.80,890467,9795139
80,aDeFBdC,449.33,1569784,17267626
81,aFfBeAD,1.01,2661,29273
82,bcBdbBE,1.21,3470,38172
83,CceEAFb,0.35,24,266
84,cAECaeC,1.52,4685,51537
85,EbbEDab,11.98,45367,499039
86,ABebEDc,0.35,28,310
87,dbCCcAB,4.98,17993,197925
88,fEeEAdF,0.35,13,145
89,EEFabEf,2.10,7000,77002
90,FeaFCBd,173.38,626565,6892217
91,CaBDDDf,10.53,40102,441124
92,eaabEBF,1.49,4529,49821
93,CcaDeaB,0.34,5,57
94,ACbcbBE,0.34,5,57
95,Fcbffbc,240.86,868933,9558265
96,ECEeAAC,1.75,5601,61613
97,fEbcFcB,6.41,23940,263342
98,BdCEDDf,2.93,10135,111487
99,aebACFa,55.00,202787,2230659
