id,scramble,time,numexp,numgen
0,Edf,0.36,3,35
1,EaF,0.36,3,35
2,ECA,0.36,3,35
3,Ecc,0.36,4,46
4,deA,0.36,6,68
5,fcE,0.36,3,35
6,fEF,0.36,1,13
7,fcf,0.36,7,79
8,fEE,0.36,3,35
9,eEa,0.36,1,13
10,CcE,0.36,1,13
11,FED,0.36,3,35
12,BCB,0.36,7,79
13,DaD,0.36,6,68
14,ecC,0.36,1,13
15,Dde,0.36,1,13
16,Fee,0.36,3,35
17,CDb,0.36,3,35
18,cfe,0.36,3,35
19,DFa,0.36,6,68
20,AFe,0.36,3,35
21,CfF,0.36,1,13
22,ACB,0.36,3,35
23,BBf,0.36,3,35
24,bDc,0.36,3,35
25,eeC,0.36,3,35
26,dDb,0.36,1,13
27,DDe,0.36,3,35
28,FCa,0.36,3,35
29,CCB,0.36,3,35
30,EaA,0.36,1,13
31,FCc,0.36,1,13
32,Cbb,0.36,4,46
33,fdF,0.36,15,167
34,DaE,0.36,3,35
35,Dbf,0.36,3,35
36,edC,0.36,6,68
37,bAa,0.36,1,13
38,BDd,0.36,1,13
39,dEb,0.36,3,35
40,fDe,0.36,3,35
41,CdE,0.36,3,35
42,FDE,0.36,3,35
43,ECe,0.36,15,167
44,DBF,0.36,3,35
45,dae,0.36,3,35
46,fad,0.36,3,35
47,cCB,0.36,1,13
48,cDf,0.36,3,35
49,FfE,0.36,1,13
50,FFD,0.36,3,35
51,bCB,0.36,10,112
52,BFf,0.36,1,13
53,dfc,0.36,3,35
54,Baf,0.36,3,35
55,AED,0.36,3,35
56,FBF,0.36,7,79
57,aca,0.36,3,35
58,Acf,0.36,3,35
59,bfB,0.36,15,167
60,cdD,0.36,1,13
61,dfD,0.36,15,167
62,FBe,0.36,3,35
63,DEE,0.36,4,46
64,bea,0.36,3,35
65,FEe,0.36,1,13
66,ABC,0.36,3,35
67,ede,0.36,7,79
68,cAf,0.36,3,35
69,cAd,0.36,3,35
70,ccb,0.36,3,35
71,fae,0.36,3,35
72,EcD,0.36,3,35
73,DBe,0.36,3,35
74,eCE,0.36,10,112
75,EdE,0.36,6,68
76,FBb,0.36,1,13
77,aCC,0.36,3,35
78,FeB,0.36,3,35
79,cFE,0.36,3,35
80,eFe,0.36,3,35
81,BaB,0.36,6,68
82,AdB,0.36,3,35
83,ADc,0.36,3,35
84,DDe,0.36,3,35
85,eFD,0.36,3,35
86,FaB,0.36,5,57
87,BCa,0.36,3,35
88,bEC,0.36,3,35
89,FFf,0.36,1,13
90,DBE,0.36,3,35
91,aBf,0.36,3,35
92,ACE,0.36,3,35
93,BBf,0.36,3,35
94,fBF,0.36,10,112
95,cde,0.36,3,35
96,Fbe,0.36,3,35
97,bba,0.36,3,35
98,BCC,0.36,4,46
99,cfC,0.36,15,167
