0,fAcAdB,0.48,457,5029
1,BcBbaB,1.06,3278,36060
2,fffdba,0.90,2601,28613
3,EFAFaC,5.36,22227,244499
4,ebbedd,1.07,3310,36412
5,CeDFFD,3.66,14878,163660
6,EBDeCe,2.75,10757,118329
7,BFbdEB,0.35,41,453
8,ECEFda,0.48,626,6888
9,BDEaBb,0.83,2266,24928
10,cDbBAc,0.34,15,167
11,ACbfAA,4.45,18386,202248
12,FdfBAd,0.42,369,4061
13,AFfCcd,0.35,2,24
14,EcAEfC,200.23,841113,9252245
15,dABBAE,0.41,299,3291
16,eCBfED,0.88,1520,16722
17,faadab,0.55,170,1872
18,aCCAAE,0.39,4,46
19,FcbCEB,7.41,28239,310631
20,FAfbCe,1.23,2996,32958
21,fDBCeC,2.15,7840,86242
22,AebdCb,1.92,6114,67256
23,AaefAe,1.71,5820,64022
24,ccaADC,0.43,31,343
25,dbafAf,80.16,332216,3654378
26,dDdBCe,0.95,2874,31616
27,faFDbe,0.35,53,585
28,bBEAeE,0.34,2,24
29,FEEAEe,0.34,4,46
30,Cbdcbb,5.64,24449,268941
31,BCEcEd,0.66,1507,16579
32,fCAfDb,1.92,7312,80434
33,FacBad,8.44,35934,395276
34,BeFafe,252.17,1039432,11433754
35,dbacaa,0.34,4,46
36,ABfBcB,1.55,5603,61635
37,AdBAEF,2.41,9473,104205
38,eeABec,0.44,466,5128
39,baCbdb,0.77,1976,21738
40,CDBdea,0.34,4,46
41,BEAebb,1.89,7180,78982
42,BdBABE,1.60,5745,63197
43,bEdcEc,7.21,30932,340254
44,FCEdFF,37.45,157752,1735274
45,EfCBBB,0.62,1308,14390
46,afBbBF,2.18,8508,93590
47,EcdeEF,0.64,1376,15138
48,bCDdCA,0.34,5,57
49,dEbBcb,0.34,11,123
50,aDEDda,0.71,1708,18790
51,AACEEb,1.08,3414,37556
52,ECbdDA,0.34,4,46
53,CAaDde,0.35,2,24
54,cDFADb,4.09,16889,185781
55,adEDda,0.35,17,189
56,FfdDBB,0.34,2,24
57,BeEAfb,0.35,31,343
58,DdAAFF,0.35,4,46
59,BBcCaF,0.34,4,46
60,aCafCF,8.42,35770,393472
61,fDDcbd,0.37,171,1883
62,dCBFAD,1.04,3235,35587
63,BeeADb,0.80,2128,23410
64,BeFbAD,0.66,1498,16480
65,AfAcEB,3.37,13745,151197
66,ceDfbf,2.52,9835,108187
67,ACcAAA,0.34,0,1
68,daFAbE,0.40,270,2972
69,cABdBB,0.35,53,585
70,DFccca,0.34,11,123
71,fDFebC,0.35,45,497
72,cceaed,0.45,516,5678
73,BbbBCe,0.34,2,24
74,BaFFdA,3.75,15496,170458
75,EecaFD,0.84,2351,25863
76,EfAADE,12.93,54775,602527
77,CbaCBd,0.63,1335,14687
78,DfFAda,0.37,125,1377
79,BEDEad,4.00,16615,182767
80,cbCbFC,0.38,190,2092
81,DBcbBF,0.53,874,9616
82,CBdBeF,0.42,367,4039
83,fecBDD,1.87,7024,77266
84,DEbFFd,25.22,107478,1182260
85,BEEabF,0.36,85,937
86,AEAEda,0.69,1623,17855
87,BaDacc,2.28,8892,97814
88,aDCFCa,0.45,497,5469
89,AaadFe,0.34,12,134
90,aDbbBE,0.34,4,46
91,fbcDeB,32.52,137826,1516088
92,CFBeDb,101.26,421409,4635501
93,eCcaAD,0.34,2,24
94,BfdbCA,0.35,33,365
95,FAAcfF,0.35,5,57
96,cCdDbC,0.34,2,24
97,BFCFBd,0.37,142,1564
98,aedBbA,1.08,3428,37710
99,fBccdd,0.97,2871,31583
