0,ebFaa,0.57,947,10419
1,eFadb,0.37,63,695
2,EECAb,0.37,20,222
3,eEDaF,0.36,5,57
4,cBAeC,0.97,2807,30879
5,eFEeE,0.36,1,13
6,aFCCe,0.37,59,651
7,AAbFa,0.36,11,123
8,CddAD,0.37,50,552
9,BCddd,0.36,3,35
10,Ebecd,0.36,20,222
11,BbDeA,0.36,5,57
12,eFBeF,0.47,529,5821
13,aeDdd,0.36,3,35
14,fdaDd,0.36,3,35
15,eBAaa,0.36,3,35
16,eBADc,0.49,597,6569
17,eAecE,0.51,721,7933
18,DACaA,0.36,3,35
19,bfAEd,0.40,218,2400
20,Bbadd,0.36,4,46
21,ECeDa,0.36,30,332
22,deffd,0.36,6,68
23,fAbEe,0.36,3,35
24,eCCCB,0.36,6,68
25,caEcd,0.39,161,1773
26,cfbFf,0.37,3,35
27,BCbFE,0.40,38,420
28,bfBbD,0.40,3,35
29,aeDdF,0.39,3,35
30,eBAEE,0.40,224,2466
31,dFFfb,0.35,3,35
32,dbffC,0.42,283,3115
33,aaeee,0.35,3,35
34,BDcEa,0.39,178,1960
35,bAfdD,0.35,5,57
36,aFeBB,0.87,2363,25995
37,CecDf,0.36,12,134
38,dcDdF,0.35,3,35
39,abCcB,0.35,1,13
40,BDBcd,0.42,323,3555
41,FbEBD,0.42,287,3159
42,baedD,0.35,3,35
43,FBaBD,0.36,21,233
44,bdbAa,0.35,3,35
45,CAEce,1.15,3607,39679
46,ecbFe,0.37,41,453
47,cFABe,0.49,631,6943
48,DebDC,0.36,8,90
49,BAbCd,0.36,26,288
50,fbDbF,0.36,15,167
51,dffAe,0.35,6,68
52,cBcCB,0.35,4,46
53,eCDdA,0.35,3,35
54,eddaB,0.35,6,68
55,fdEFb,0.36,17,189
56,fBDAf,0.44,391,4303
57,DcFae,0.39,180,1982
58,DaFDa,0.35,8,90
59,DceAA,0.36,30,332
60,EfBeA,0.50,661,7273
61,caBEe,0.35,3,35
62,ccFFE,0.35,5,57
63,aebec,0.36,29,321
64,EEaAc,0.35,3,35
65,FacEB,0.42,322,3544
66,CbAeF,0.36,16,178
67,bfeFf,0.35,3,35
68,aeAfd,0.36,26,288
69,bDBCD,0.35,7,79
70,EDACc,0.35,3,35
71,deEaa,0.35,4,46
72,dbCbB,0.35,3,35
73,fCbFB,0.39,191,2103
74,aADbf,0.35,3,35
75,fFddE,0.35,3,35
76,bCdff,0.36,55,607
77,FFdcD,0.41,242,2664
78,beFAC,0.42,287,3159
79,FAABe,0.36,26,288
80,abcba,0.38,134,1476
81,DDfBb,0.35,3,35
82,bDfEA,1.55,5365,59017
83,CDfbe,0.45,420,4622
84,Ecbda,0.37,66,728
85,EdEAD,0.39,147,1619
86,FCFFD,0.36,28,310
87,efAFF,0.59,1073,11805
88,dEBda,0.35,8,90
89,FcCCC,0.35,4,46
90,daBFF,0.56,959,10551
91,FFCbA,0.36,18,200
92,FcaeA,1.27,4164,45806
93,CAbBD,0.35,3,35
94,efCaf,1.18,3712,40834
95,CadAC,0.59,1058,11640
96,FbadA,2.09,7787,85659
97,daCfA,0.65,1349,14841
98,AbbDD,0.36,8,90
99,bEbbe,0.37,81,893
