id,scramble,time,numexp,numgen
0,ebFaa,9.33,38848,427330
1,eFadb,0.74,1840,20242
2,EECAb,0.56,1018,11200
3,eEDaF,0.34,10,112
4,cBAeC,56.40,227500,2502502
5,eFEeE,0.42,1,13
6,aFCCe,0.43,34,376
7,AAbFa,0.42,21,233
8,CddAD,0.40,266,2928
9,BCddd,0.36,3,35
10,Ebecd,0.35,56,618
11,BbDeA,0.34,10,112
12,eFBeF,1.63,5830,64132
13,aeDdd,0.37,3,35
14,fdaDd,0.34,3,35
15,eBAaa,0.38,3,35
16,eBADc,7.96,28795,316747
17,eAecE,4.81,19911,219023
18,DACaA,0.34,3,35
19,bfAEd,1.91,7009,77101
20,Bbadd,0.34,4,46
21,ECeDa,0.35,61,673
22,deffd,0.33,6,68
23,fAbEe,0.34,3,35
24,eCCCB,0.35,10,112
25,caEcd,0.83,2299,25291
26,cfbFf,0.33,3,35
27,BCbFE,0.35,61,673
28,bfBbD,0.33,3,35
29,aeDdF,0.36,3,35
30,eBAEE,1.03,3209,35301
31,dFFfb,0.34,3,35
32,dbffC,1.42,5017,55189
33,aaeee,0.33,3,35
34,BDcEa,2.42,9477,104249
35,bAfdD,0.34,10,112
36,aFeBB,7.71,32593,358525
37,CecDf,0.34,38,420
38,dcDdF,0.34,3,35
39,abCcB,0.33,1,13
40,BDBcd,2.77,11201,123213
41,FbEBD,0.95,2823,31055
42,baedD,0.34,11,123
43,FBaBD,0.36,126,1388
44,bdbAa,0.34,3,35
45,CAEce,15.29,64879,713671
46,ecbFe,0.42,403,4435
47,cFABe,14.31,60427,664699
48,DebDC,0.34,16,178
49,BAbCd,0.35,76,838
50,fbDbF,0.50,758,8340
51,dffAe,0.34,6,68
52,cBcCB,0.34,4,46
53,eCDdA,0.34,3,35
54,eddaB,0.34,6,68
55,fdEFb,0.35,49,541
56,fBDAf,2.46,9693,106625
57,DcFae,1.64,5932,65254
58,DaFDa,0.43,410,4512
59,DceAA,0.41,349,3841
60,EfBeA,2.86,11490,126392
61,caBEe,0.34,3,35
62,ccFFE,0.34,5,57
63,aebec,0.39,237,2609
64,EEaAc,0.34,3,35
65,FacEB,3.00,12046,132508
66,CbAeF,0.38,205,2257
67,bfeFf,0.34,3,35
68,aeAfd,0.36,76,838
69,bDBCD,0.34,20,222
70,EDACc,0.34,3,35
71,deEaa,0.34,4,46
72,dbCbB,0.34,3,35
73,fCbFB,0.70,1676,18438
74,aADbf,0.35,58,640
75,fFddE,0.34,3,35
76,bCdff,0.65,1443,15875
77,FFdcD,2.20,8514,93656
78,beFAC,1.43,5026,55288
79,FAABe,0.44,459,5051
80,abcba,0.91,2645,29097
81,DDfBb,0.34,3,35
82,bDfEA,74.05,309186,3401048
83,CDfbe,5.14,21811,239923
84,Ecbda,1.24,4164,45806
85,EdEAD,1.72,6401,70413
86,FCFFD,0.35,65,717
87,efAFF,4.42,18461,203073
88,dEBda,0.34,16,178
89,FcCCC,0.34,4,46
90,daBFF,9.12,38848,427330
91,FFCbA,0.37,129,1421
92,FcaeA,62.43,266021,2926233
93,CAbBD,0.34,3,35
94,efCaf,45.46,189087,2079959
95,CadAC,4.43,18676,205438
96,FbadA,80.16,339303,3732335
97,daCfA,8.33,36255,398807
98,AbbDD,0.34,8,90
99,bEbbe,0.38,164,1806
