0,Edf,0.37,3,35
1,EaF,0.35,3,35
2,ECA,0.35,3,35
3,Ecc,0.35,4,46
4,deA,0.34,10,112
5,fcE,0.35,3,35
6,fEF,0.35,1,13
7,fcf,0.35,20,222
8,fEE,0.34,3,35
9,eEa,0.34,1,13
10,CcE,0.34,1,13
11,FED,0.34,3,35
12,BCB,0.35,20,222
13,DaD,0.35,14,156
14,ecC,0.34,1,13
15,Dde,0.34,1,13
16,Fee,0.34,3,35
17,CDb,0.34,3,35
18,cfe,0.35,3,35
19,DFa,0.34,10,112
20,AFe,0.34,3,35
21,CfF,0.34,1,13
22,ACB,0.34,3,35
23,BBf,0.34,3,35
24,bDc,0.35,30,332
25,eeC,0.34,3,35
26,dDb,0.34,1,13
27,DDe,0.34,3,35
28,FCa,0.34,3,35
29,CCB,0.34,3,35
30,EaA,0.34,1,13
31,FCc,0.35,1,13
32,Cbb,0.35,4,46
33,fdF,0.35,52,574
34,DaE,0.34,3,35
35,Dbf,0.36,58,640
36,edC,0.35,10,112
37,bAa,0.34,1,13
38,BDd,0.34,1,13
39,dEb,0.35,3,35
40,fDe,0.34,3,35
41,CdE,0.35,3,35
42,FDE,0.34,3,35
43,ECe,0.35,52,574
44,DBF,0.34,3,35
45,dae,0.34,3,35
46,fad,0.34,3,35
47,cCB,0.35,1,13
48,cDf,0.34,3,35
49,FfE,0.35,1,13
50,FFD,0.35,3,35
51,bCB,0.35,40,442
52,BFf,0.34,1,13
53,dfc,0.35,3,35
54,Baf,0.34,3,35
55,AED,0.34,3,35
56,FBF,0.35,20,222
57,aca,0.34,3,35
58,Acf,0.36,58,640
59,bfB,0.35,52,574
60,cdD,0.34,1,13
61,dfD,0.36,52,574
62,FBe,0.34,3,35
63,DEE,0.34,4,46
64,bea,0.35,3,35
65,FEe,0.34,1,13
66,ABC,0.34,3,35
67,ede,0.35,20,222
68,cAf,0.35,58,640
69,cAd,0.35,58,640
70,ccb,0.34,3,35
71,fae,0.34,3,35
72,EcD,0.35,3,35
73,DBe,0.34,3,35
74,eCE,0.35,41,453
75,EdE,0.35,14,156
76,FBb,0.35,1,13
77,aCC,0.34,3,35
78,FeB,0.35,3,35
79,cFE,0.35,3,35
80,eFe,0.34,3,35
81,BaB,0.35,14,156
82,AdB,0.34,3,35
83,ADc,0.34,3,35
84,DDe,0.34,3,35
85,eFD,0.34,3,35
86,FaB,0.35,10,112
87,BCa,0.34,3,35
88,bEC,0.34,3,35
89,FFf,0.34,1,13
90,DBE,0.35,3,35
91,aBf,0.34,3,35
92,ACE,0.34,3,35
93,BBf,0.35,3,35
94,fBF,0.35,41,453
95,cde,0.34,3,35
96,Fbe,0.34,3,35
97,bba,0.34,3,35
98,BCC,0.34,4,46
99,cfC,0.35,52,574
