0,cBbd,0.39,2,24
1,eBba,0.38,2,24
2,FDAa,0.39,2,24
3,bFDE,5.16,18477,203249
4,EfDE,0.37,4,46
5,CcCd,0.36,2,24
6,bdEc,0.37,4,46
7,DAAF,0.36,4,46
8,cdda,0.36,6,68
9,aBAE,0.39,4,46
10,feEa,0.38,2,24
11,cAaa,0.36,2,24
12,DEAa,0.35,2,24
13,FeAC,0.39,4,46
14,Bdab,0.93,2093,23025
15,DfDF,0.39,66,728
16,ACDE,0.38,4,46
17,BAbD,0.62,1104,12146
18,EdEe,0.35,2,24
19,FdEe,0.34,2,24
20,cAbA,0.35,20,222
21,FdDa,0.34,2,24
22,AdBA,0.34,4,46
23,EDdE,0.34,2,24
24,CfBB,0.34,5,57
25,FBFb,4.01,14609,160701
26,BCde,3.10,10953,120485
27,bBeA,0.34,2,24
28,DCaB,30.66,113588,1249470
29,FdaD,1.48,4581,50393
30,bcAa,0.34,2,24
31,FFfF,0.34,2,24
32,ffdB,0.89,2237,24609
33,FefE,0.34,0,1
34,eDcD,0.34,15,167
35,dbbD,0.37,115,1267
36,dAdF,0.34,4,46
37,fCdC,3.13,11188,123070
38,CbED,0.35,33,365
39,CCCA,0.34,2,24
40,beBF,0.34,4,46
41,CCFE,0.34,9,101
42,FBDF,0.34,4,46
43,debC,54.23,194271,2136983
44,ECdB,0.34,4,46
45,fAea,0.34,4,46
46,ABef,0.34,10,112
47,efDF,0.34,4,46
48,FCFa,0.34,4,46
49,DfeE,0.35,2,24
50,BAdc,0.39,198,2180
51,DdBF,0.34,2,24
52,CADB,2.09,7001,77013
53,ccdd,0.39,202,2224
54,FFfb,0.34,2,24
55,Bbfc,0.34,2,24
56,bdfa,1648.90,5785509,63640601
57,AbdC,0.35,4,46
58,dEcf,0.36,46,508
59,EfbD,0.35,4,46
60,BAEA,1.55,4711,51823
61,DBaf,4.88,18011,198123
62,fDeB,0.35,4,46
63,DCFC,0.35,4,46
64,FeaD,1.03,2786,30648
65,CeEA,0.35,2,24
66,dcBf,3.14,11136,122498
67,aeCF,0.35,4,46
68,fCFf,0.35,2,24
69,BDfF,0.35,2,24
70,EaFd,0.35,4,46
71,bbff,0.48,533,5865
72,dBdF,0.36,41,453
73,fBee,0.35,4,46
74,fEaE,0.35,4,46
75,dCca,0.35,2,24
76,CedF,0.35,4,46
77,BDFF,1102.49,3869006,42559068
78,eFbC,0.35,4,46
79,eAdf,0.35,4,46
80,fBfA,0.67,1176,12938
81,bfCD,0.68,1298,14280
82,dadf,0.72,1502,16524
83,BfDA,25.72,99349,1092841
84,CDCb,0.35,4,46
85,cdFE,0.38,104,1146
86,BfDB,0.38,138,1520
87,DBfC,245.65,903494,9938436
88,ddFB,0.36,50,552
89,BfCf,37.28,137980,1517782
90,cBeB,0.35,5,57
91,FEFB,0.35,4,46
92,eDab,0.34,4,46
93,AceC,0.44,391,4303
94,CEFe,0.35,2,24
95,dbBc,0.34,2,24
96,bacd,0.44,381,4193
97,FEaa,5.03,19009,209101
98,EEaE,0.35,4,46
99,BaAC,0.34,4,46
