id,scramble,time,numexp,numgen
0,dAceEBE,0.82,2107,23179
1,fabacBA,0.74,1778,19560
2,AcbebEe,0.80,2023,22255
3,acFDcCF,0.43,362,3984
4,aEfCdDC,0.82,2134,23476
5,CDfFDfd,0.37,56,618
6,bcCfCEe,0.35,3,35
7,cfceCDc,0.58,1019,11211
8,aEcfbfB,3.33,13231,145543
9,fECBFEE,1.22,3865,42517
10,CBCADae,1.30,4270,46972
11,FdeaFec,0.41,258,2840
12,BdCDeFF,1.27,4167,45839
13,DAEBEfB,2.93,11427,125699
14,DcacfCD,0.44,419,4611
15,CcdbDcC,0.35,1,13
16,acDDbcB,6.99,28910,318012
17,dcCCbcd,0.56,935,10287
18,EDDcfeA,0.36,39,431
19,ACEeAFD,0.36,23,255
20,ffeFEbD,0.35,3,35
21,ddFBCBD,1.19,3763,41395
22,DdDabFe,0.37,65,717
23,aeEAfcE,0.35,3,35
24,EBAaEcF,0.36,9,101
25,aebdDbf,0.36,29,321
26,aaedecB,0.40,207,2279
27,eDEADfd,0.41,246,2708
28,bcbceAB,0.47,542,5964
29,EEAdaFa,0.44,372,4094
30,DCFeAAA,0.46,490,5392
31,edAfEBc,0.42,304,3346
32,EedAEfC,0.39,149,1641
33,bCeEFaC,0.38,116,1278
34,eEcBfbA,0.37,94,1036
35,FBcACAA,0.36,6,68
36,BafFBef,0.36,8,90
37,fCabdec,4.75,19116,210278
38,dcdfaeE,0.36,9,101
39,DAdEBcE,0.37,61,673
40,feACaFC,0.64,1305,14357
41,FFFDEEF,0.36,26,288
42,eCfceEc,0.46,464,5106
43,BfCcDBd,0.35,6,68
44,aDfEcDc,12.25,51238,563620
45,CdcaEDf,0.36,20,222
46,CDabFda,4.19,16916,186078
47,BABBDAf,0.39,166,1828
48,FdfBaad,0.42,290,3192
49,DBfCBeF,2.61,9961,109573
50,CBBAccc,0.36,13,145
51,BaddBaE,0.37,87,959
52,dEacEbb,1.46,4953,54485
53,DADDecE,0.49,616,6778
54,eeAeFED,0.36,5,57
55,cAdbefE,1.18,3752,41274
56,ECaeDef,0.60,1135,12487
57,bbCaAae,0.47,537,5909
58,EAcFdAa,0.36,33,365
59,BFDAACD,0.82,2104,23146
60,eaDFEfB,0.36,15,167
61,eBcbaDE,0.41,260,2862
62,BFffEFc,0.35,3,35
63,AfFedff,0.64,1313,14445
64,EaCEBbE,0.65,1360,14962
65,ABdCeBB,1.52,5265,57917
66,CfAffbD,0.46,474,5216
67,ffBBCDA,0.36,7,79
68,EFbacCf,0.41,267,2939
69,bAebfCc,0.40,230,2532
70,EbfBebD,6.12,25262,277884
71,fbBaDBe,0.36,41,453
72,aEeFdcC,0.36,3,35
73,BeeECea,0.36,34,376
74,dECafAE,1.18,3741,41153
75,dEFaAEd,0.36,24,266
76,BaBDaCa,0.41,240,2642
77,bBfCfaD,0.36,8,90
78,DcabFCE,2.41,9195,101147
79,DfaDACE,0.77,1874,20616
80,aDeFBdC,0.61,1156,12718
81,aFfBeAD,0.36,21,233
82,bcBdbBE,0.36,24,266
83,CceEAFb,0.36,6,68
84,cAECaeC,4.71,19165,210817
85,EbbEDab,0.48,566,6228
86,ABebEDc,0.41,266,2928
87,dbCCcAB,1.26,4077,44849
88,fEeEAdF,0.52,770,8472
89,EEFabEf,0.55,876,9638
90,FeaFCBd,0.98,2820,31022
91,CaBDDDf,1.53,5365,59017
92,eaabEBF,0.47,527,5799
93,CcaDeaB,0.37,89,981
94,ACbcbBE,0.45,460,5062
95,Fcbffbc,0.49,630,6932
96,ECEeAAC,0.36,8,90
97,fEbcFcB,6.40,26421,290633
98,BdCEDDf,0.98,2802,30824
99,aebACFa,0.46,494,5436
