id,scramble,time,numexp,numgen
0,ebFaa,92.76,334568,3680250
1,eFadb,0.40,215,2367
2,EECAb,10.03,38017,418189
3,eEDaF,0.79,1801,19813
4,cBAeC,1.32,3851,42363
5,eFEeE,0.35,1,13
6,aFCCe,12.64,47007,517079
7,AAbFa,0.35,26,288
8,CddAD,0.35,13,145
9,BCddd,0.34,5,57
10,Ebecd,0.35,27,299
11,BbDeA,0.35,5,57
12,eFBeF,0.34,5,57
13,aeDdd,0.34,3,35
14,fdaDd,0.34,3,35
15,eBAaa,0.34,3,35
16,eBADc,2.49,8528,93810
17,eAecE,93.23,340243,3742675
18,DACaA,0.34,3,35
19,bfAEd,1.09,3006,33068
20,Bbadd,0.37,107,1179
21,ECeDa,0.35,5,57
22,deffd,0.34,5,57
23,fAbEe,0.34,3,35
24,eCCCB,0.34,3,35
25,caEcd,0.34,6,68
26,cfbFf,0.38,162,1784
27,BCbFE,0.36,40,442
28,bfBbD,0.34,3,35
29,aeDdF,0.35,3,35
30,eBAEE,0.48,543,5975
31,dFFfb,0.34,3,35
32,dbffC,1480.46,5187654,57064196
33,aaeee,0.35,15,167
34,BDcEa,0.45,380,4182
35,bAfdD,0.45,411,4523
36,aFeBB,0.43,358,3940
37,CecDf,0.35,5,57
38,dcDdF,0.35,3,35
39,abCcB,0.34,1,13
40,BDBcd,0.36,57,629
41,FbEBD,0.35,6,68
42,baedD,0.34,3,35
43,FBaBD,0.34,6,68
44,bdbAa,0.37,98,1080
45,CAEce,4.75,17518,192700
46,ecbFe,0.35,16,178
47,cFABe,54.60,202142,2223564
48,DebDC,11.79,43919,483111
49,BAbCd,0.42,316,3478
50,fbDbF,0.47,503,5535
51,dffAe,0.83,1988,21870
52,cBcCB,0.34,3,35
53,eCDdA,0.34,3,35
54,eddaB,0.50,638,7020
55,fdEFb,0.35,7,79
56,fBDAf,8.14,30184,332026
57,DcFae,74.88,277343,3050775
58,DaFDa,0.98,2572,28294
59,DceAA,0.34,6,68
60,EfBeA,0.36,6,68
61,caBEe,2.22,7470,82172
62,ccFFE,0.35,7,79
63,aebec,0.34,5,57
64,EEaAc,0.34,3,35
65,FacEB,24.39,90189,992081
66,CbAeF,1.26,3645,40097
67,bfeFf,0.35,3,35
68,aeAfd,0.35,16,178
69,bDBCD,0.55,844,9286
70,EDACc,0.35,3,35
71,deEaa,0.35,3,35
72,dbCbB,0.98,2564,28206
73,fCbFB,0.38,155,1707
74,aADbf,0.35,3,35
75,fFddE,0.36,62,684
76,bCdff,1.74,5549,61041
77,FFdcD,7.08,26242,288664
78,beFAC,1.19,3448,37930
79,FAABe,0.52,723,7955
80,abcba,41.43,154084,1694926
81,DDfBb,0.37,105,1157
82,bDfEA,2583.08,8725613,95981745
83,CDfbe,0.42,262,2884
84,Ecbda,0.35,5,57
85,EdEAD,0.35,5,57
86,FCFFD,0.35,5,57
87,efAFF,0.46,429,4721
88,dEBda,27.60,105842,1164264
89,FcCCC,1.06,2905,31957
90,daBFF,15.11,56563,622195
91,FFCbA,0.35,5,57
92,FcaeA,49.18,180846,1989308
93,CAbBD,0.35,3,35
94,efCaf,126.06,453533,4988865
95,CadAC,0.85,2000,22002
96,FbadA,19.29,72828,801110
97,daCfA,222.31,816811,8984923
98,AbbDD,0.83,1937,21309
99,bEbbe,0.48,540,5942
