0,fAcAdB,0.36,23,255
1,BcBbaB,0.39,150,1652
2,fffdba,0.37,49,541
3,EFAFaC,0.96,2760,30362
4,ebbedd,0.35,13,145
5,CeDFFD,0.63,1283,14115
6,EBDeCe,0.51,723,7955
7,BFbdEB,0.36,18,200
8,ECEFda,0.36,48,530
9,BDEaBb,0.36,54,596
10,cDbBAc,0.35,7,79
11,ACbfAA,0.66,1418,15600
12,FdfBAd,0.36,43,475
13,AFfCcd,0.35,2,24
14,EcAEfC,2.99,11679,128471
15,dABBAE,0.37,88,970
16,eCBfED,0.39,179,1971
17,faadab,0.41,246,2708
18,aCCAAE,0.35,4,46
19,FcbCEB,1.09,3356,36918
20,FAfbCe,0.37,49,541
21,fDBCeC,0.45,453,4985
22,AebdCb,0.45,448,4930
23,AaefAe,0.39,183,2015
24,ccaADC,0.35,11,123
25,dbafAf,4.12,16524,181766
26,dDdBCe,0.37,81,893
27,faFDbe,0.36,39,431
28,bBEAeE,0.35,2,24
29,FEEAEe,0.35,4,46
30,Cbdcbb,0.96,2760,30362
31,BCEcEd,0.44,388,4270
32,fCAfDb,0.43,353,3885
33,FacBad,0.65,1324,14566
34,BeFafe,9.34,38538,423920
35,dbacaa,0.36,4,46
36,ABfBcB,0.38,144,1586
37,AdBAEF,0.49,619,6811
38,eeABec,0.37,76,838
39,baCbdb,0.62,1192,13114
40,CDBdea,0.35,4,46
41,BEAebb,0.68,1442,15864
42,BdBABE,0.41,251,2763
43,bEdcEc,0.46,502,5524
44,FCEdFF,1.57,5491,60403
45,EfCBBB,0.36,30,332
46,afBbBF,0.41,254,2796
47,EcdeEF,0.36,33,365
48,bCDdCA,0.35,5,57
49,dEbBcb,0.35,6,68
50,aDEDda,0.37,55,607
51,AACEEb,0.42,304,3346
52,ECbdDA,0.35,4,46
53,CAaDde,0.35,2,24
54,cDFADb,0.56,931,10243
55,adEDda,0.36,9,101
56,FfdDBB,0.35,2,24
57,BeEAfb,0.36,14,156
58,DdAAFF,0.35,4,46
59,BBcCaF,0.35,4,46
60,aCafCF,0.79,1983,21815
61,fDDcbd,0.39,182,2004
62,dCBFAD,0.41,270,2972
63,BeeADb,0.39,177,1949
64,BeFbAD,0.40,206,2268
65,AfAcEB,0.39,165,1817
66,ceDfbf,0.41,232,2554
67,ACcAAA,0.36,0,1
68,daFAbE,0.37,70,772
69,cABdBB,0.35,4,46
70,DFccca,0.36,7,79
71,fDFebC,0.36,17,189
72,cceaed,0.36,29,321
73,BbbBCe,0.35,2,24
74,BaFFdA,0.47,540,5942
75,EecaFD,0.36,48,530
76,EfAADE,0.67,1433,15765
77,CbaCBd,0.39,178,1960
78,DfFAda,0.37,53,585
79,BEDEad,0.44,416,4578
80,cbCbFC,0.36,40,442
81,DBcbBF,0.36,23,255
82,CBdBeF,0.36,25,277
83,fecBDD,0.42,295,3247
84,DEbFFd,1.91,7028,77310
85,BEEabF,0.36,14,156
86,AEAEda,0.37,74,816
87,BaDacc,0.57,976,10738
88,aDCFCa,0.43,359,3951
89,AaadFe,0.35,4,46
90,aDbbBE,0.35,4,46
91,fbcDeB,0.72,1654,18196
92,CFBeDb,3.63,14432,158754
93,eCcaAD,0.35,2,24
94,BfdbCA,0.36,29,321
95,FAAcfF,0.35,5,57
96,cCdDbC,0.35,2,24
97,BFCFBd,0.36,30,332
98,aedBbA,0.38,113,1245
99,fBccdd,0.41,246,2708
