0,Edf,0.34,3,35
1,EaF,0.35,3,35
2,ECA,0.35,3,35
3,Ecc,0.99,2625,28877
4,deA,0.35,32,354
5,fcE,0.34,3,35
6,fEF,0.34,1,13
7,fcf,0.34,3,35
8,fEE,0.34,3,35
9,eEa,0.34,1,13
10,CcE,0.34,1,13
11,FED,0.34,3,35
12,BCB,0.36,5,57
13,DaD,1.04,2368,26050
14,ecC,0.36,1,13
15,Dde,0.36,1,13
16,Fee,0.34,3,35
17,CDb,0.34,3,35
18,cfe,0.34,3,35
19,DFa,0.75,1579,17371
20,AFe,0.36,3,35
21,CfF,0.35,1,13
22,ACB,0.40,3,35
23,BBf,0.46,276,3038
24,bDc,0.35,4,46
25,eeC,0.36,3,35
26,dDb,0.35,1,13
27,DDe,0.38,109,1201
28,FCa,0.37,3,35
29,CCB,0.34,5,57
30,EaA,0.35,1,13
31,FCc,0.35,1,13
32,Cbb,0.35,6,68
33,fdF,0.36,5,57
34,DaE,0.38,3,35
35,Dbf,0.37,3,35
36,edC,0.35,3,35
37,bAa,0.34,1,13
38,BDd,0.36,1,13
39,dEb,0.37,3,35
40,fDe,0.39,3,35
41,CdE,0.35,3,35
42,FDE,0.35,3,35
43,ECe,0.34,3,35
44,DBF,0.34,3,35
45,dae,0.55,594,6536
46,fad,0.38,3,35
47,cCB,0.35,1,13
48,cDf,0.37,3,35
49,FfE,0.37,1,13
50,FFD,0.37,4,46
51,bCB,0.34,3,35
52,BFf,0.36,1,13
53,dfc,0.43,377,4149
54,Baf,0.34,3,35
55,AED,0.35,3,35
56,FBF,0.34,3,35
57,aca,0.34,13,145
58,Acf,0.34,3,35
59,bfB,1.94,6429,70721
60,cdD,0.34,1,13
61,dfD,0.76,1686,18548
62,FBe,0.34,3,35
63,DEE,0.34,3,35
64,bea,0.35,3,35
65,FEe,0.36,1,13
66,ABC,0.38,3,35
67,ede,0.37,5,57
68,cAf,0.35,3,35
69,cAd,0.35,3,35
70,ccb,0.35,5,57
71,fae,0.35,3,35
72,EcD,0.40,3,35
73,DBe,0.38,3,35
74,eCE,0.35,3,35
75,EdE,0.35,3,35
76,FBb,0.38,1,13
77,aCC,0.36,5,57
78,FeB,0.35,3,35
79,cFE,0.34,3,35
80,eFe,0.37,3,35
81,BaB,0.36,3,35
82,AdB,0.35,3,35
83,ADc,0.34,3,35
84,DDe,0.36,109,1201
85,eFD,0.36,3,35
86,FaB,0.36,24,266
87,BCa,0.34,5,57
88,bEC,0.35,3,35
89,FFf,0.35,1,13
90,DBE,0.34,3,35
91,aBf,0.38,3,35
92,ACE,0.38,3,35
93,BBf,0.44,276,3038
94,fBF,0.36,12,134
95,cde,0.35,5,57
96,Fbe,0.36,3,35
97,bba,0.38,103,1135
98,BCC,0.38,5,57
99,cfC,0.39,49,541
